ccode,team,year,season,n_ath,gold,silver,bronze,total,cw_name,mrgdppc,sd_mrgdppc,pwtrgdp,sd_pwtrgdp,pwtpop,sd_pwtpop,euds,aeuds,polity2,v2x_polyarchy
56,Saint Lucia,1996,Summer,6,0,0,0,0,St. Lucia,7588.080647321135,1174.4292105603695,1280.9088528712005,543.5850518886707,0.1497896564591122,0.010329980112512838,1.552843562723295,0.7451140061225303,NA,NA
56,Saint Lucia,2000,Summer,5,0,0,0,0,St. Lucia,7783.2786798038705,1239.5588697856833,1392.1871192640624,608.0909284991225,0.15662179217657313,0.010626572927293566,1.4718271465926118,0.6640975899918471,NA,NA
56,Saint Lucia,2004,Summer,2,0,0,0,0,St. Lucia,8376.558828109788,1333.9736949247128,1501.5716305442536,630.9840810935465,0.1617568805872105,0.010905396169140505,1.4082440984025912,0.6005145418018265,NA,NA
56,Saint Lucia,2008,Summer,4,0,0,0,0,St. Lucia,9464.650583213352,1414.5802759817475,1825.8675117755613,753.1953476356705,0.16740382902154985,0.011613404459818425,1.910263070448864,1.1025335138480992,NA,NA
56,Saint Lucia,2012,Summer,4,0,0,0,0,St. Lucia,9525.281540451293,1461.4109548497504,1860.7818103960844,807.6165147619805,0.17366112549614696,0.011695989522402762,1.8640809402456968,1.056351383644932,NA,NA
56,Saint Lucia,2016,Summer,5,0,0,0,0,St. Lucia,9814.89607662116,1532.0624105610932,1958.4934378623832,826.8590308412563,0.1750379279590671,0.01194544992830763,1.807300765058834,0.9995712084580692,NA,NA
57,Saint Vincent and the Grenadines,1988,Summer,6,0,0,0,0,St. Vincent and the Grenadines,5701.554876539625,913.3454262983281,686.5430605345318,292.4036981962505,0.10725446373174795,0.00758296392375837,1.4726952272948273,0.6649656706940625,NA,NA
57,Saint Vincent and the Grenadines,1992,Summer,6,0,0,0,0,St. Vincent and the Grenadines,6657.606366392721,1063.1615218098614,816.6828405276144,347.92508032430146,0.1084836421917185,0.0077602864571005604,1.2316261759728944,0.42389661937212963,NA,NA
57,Saint Vincent and the Grenadines,1996,Summer,8,0,0,0,0,St. Vincent and the Grenadines,7523.451818156024,1200.7358004846394,930.004908871772,397.0622575243955,0.10879185085229097,0.007757081889889343,1.4084868676299493,0.6007573110291846,NA,NA
57,Saint Vincent and the Grenadines,2000,Summer,4,0,0,0,0,St. Vincent and the Grenadines,8540.864905527385,1396.8579945667534,1039.760635042952,447.00456244732555,0.10844095590391281,0.007700266605852836,1.6244669970122705,0.8167374404115058,NA,NA
57,Saint Vincent and the Grenadines,2004,Summer,3,0,0,0,0,St. Vincent and the Grenadines,10069.296962139317,1647.410104465268,1230.4125670778787,528.5155337221646,0.10906581634130218,0.0076621378306986595,1.4451461531320136,0.6374165965312488,NA,NA
57,Saint Vincent and the Grenadines,2008,Summer,2,0,0,0,0,St. Vincent and the Grenadines,11433.924264396353,1853.7377753693,1418.2212508865252,607.5719770243322,0.1094327302510362,0.00772728615215589,1.5877520181541152,0.7800224615533504,NA,NA
57,Saint Vincent and the Grenadines,2012,Summer,3,0,0,0,0,St. Vincent and the Grenadines,11416.457613680343,1880.8818953720038,1418.8544357423152,599.8148309115298,0.10925657948596625,0.007701926511952335,1.8640809402456968,1.056351383644932,NA,NA
57,Saint Vincent and the Grenadines,2016,Summer,4,0,0,0,0,St. Vincent and the Grenadines,11479.939409296305,1950.7541442240447,1421.530755061918,630.8175040020142,0.10937394724726948,0.0076989389802494465,1.8378921435755788,1.030162586974814,NA,NA
990,Samoa,1984,Summer,8,0,0,0,0,Samoa,2998.6188321355276,4345.616860428114,533.5097657085499,794.6933495621092,0.15861708591949739,0.011549924741489786,0.5072822877463451,-0.30044726885441964,NA,NA
990,Samoa,1988,Summer,11,0,0,0,0,Samoa,3182.5600707524504,4776.522418083407,572.3787719168112,918.6782833230909,0.16086324872625937,0.011643936113997604,0.5445754724546236,-0.26315408414614117,NA,NA
990,Samoa,1992,Summer,5,0,0,0,0,Samoa,3223.332955267859,4802.343976668693,597.0124897426579,943.5319934665828,0.1653930955023876,0.011833132964416099,0.7758476963146284,-0.031881860286136376,NA,NA
990,Samoa,1996,Summer,5,0,0,0,0,Samoa,3530.5541365438035,5066.268584483055,689.8375996020666,1122.987248868581,0.17288078393780643,0.012475849399757303,0.8131357248904871,0.005406168289722402,NA,NA
990,Samoa,2000,Summer,5,0,0,0,0,Samoa,4015.9300754663523,5636.274462250729,795.4181857336838,1347.5184010091132,0.17601129035197846,0.012713441661130928,0.9122278897784957,0.10449833317773094,NA,NA
990,Samoa,2004,Summer,3,0,0,0,0,Samoa,4729.454492451527,6677.319352227499,956.4958189377828,1432.6291561971345,0.18020975778745044,0.013355194272072629,0.8314434662271116,0.023713909626346896,NA,NA
990,Samoa,2008,Summer,6,0,0,0,0,Samoa,5174.836715284288,7299.498491204346,1121.876165150268,1966.6157409280415,0.1862519417558902,0.013782745267970744,0.8614654066087688,0.05373585000800407,NA,NA
990,Samoa,2012,Summer,8,0,0,0,0,Samoa,5178.787913891794,7446.260009706177,1118.1210326139744,1783.146898564936,0.19214515522771294,0.013778356236312942,1.0421563192834484,0.2344267626826837,NA,NA
990,Samoa,2016,Summer,8,0,0,0,0,Samoa,5236.855032736771,7767.855972250076,1126.3443645842658,1677.7273352536263,0.19458378029465853,0.014251054258737055,0.9242873646489312,0.11655780804816651,NA,NA
331,San Marino,1960,Summer,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,San Marino,1968,Summer,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,San Marino,1972,Summer,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,San Marino,1976,Summer,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,San Marino,1980,Summer,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,San Marino,1984,Summer,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,San Marino,1988,Summer,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,San Marino,1992,Summer,17,0,0,0,0,San Marino,37130.5702634206,27669.83220857911,1091.7054566565023,979.0246542560532,0.025528103709392902,0.001970674118607801,1.233479703519788,0.42575014691902324,NA,NA
